Puma ID,Puma Sex,Puma Age,Prey Species,Sex of Prey,Age Class of Prey,Prey Class,Latitude,Longitude,Season ,Puma Classification 
ARF03,Female,5,American crow (Corvus brachyrhynchos),Unidentified,Adult,Avian,33.54231,-106.97257,HD,Upland
ARF03,Female,5,American crow (Corvus brachyrhynchos),Unidentified,Adult,Avian,33.54231,-106.97257,HD,Upland
ARF03,Female,5,American crow (Corvus brachyrhynchos),Unidentified,Adult,Avian,33.64886,-106.871,HD,Upland
ARF02,Female,2,Avian Species (not waterfowl),Unidentified,Unidentified,Avian,33.31853,-107.16989,CD,Riparian
ARF02,Female,2,Avian Species (not waterfowl),Unidentified,Unidentified,Avian,33.31811,-107.16979,CD,Riparian
ARF01,Female,5,Avian Species (not waterfowl),Unidentified,Unidentified,Avian,33.55742,-107.07834,CD,Riparian
ARF05,Female,1,Avian Species (not waterfowl),Unidentified,Unidentified,Avian,33.58002,-107.06578,CD,Riparian
ARM05,Male,1,Avian Species (not waterfowl),Unidentified,Unidentified,Avian,33.62005,-107.01039,CD,Riparian
ARF05,Female,1,Avian Species (not waterfowl),Unidentified,Unidentified,Avian,33.64903,-106.99788,CD,Riparian
ARM05,Male,1,Avian Species (not waterfowl),Unidentified,Unidentified,Avian,33.74123,-106.90568,HW,Riparian
ARM05,Male,1,Avian Species (not waterfowl),Unidentified,Unidentified,Avian,33.9546,-106.84775,HD,Riparian
ARM07,Male,5,Badger (Taxidea taxus),Unidentified,Adult,Small Mammal,33.42503,-107.12826,CD,Riparian
ARM07,Male,5,Badger (Taxidea taxus),Unidentified,Adult,Small Mammal,33.42504,-107.12826,CD,Riparian
ARM06,Male,6,Badger (Taxidea taxus),Male,Adult,Small Mammal,33.35885,-107.12226,CD,Upland
ARM01,Male,6,Badger (Taxidea taxus),Unidentified,Mature,Small Mammal,33.45367,-107.08548,HW,Mixed
ARM01,Male,6,Badger (Taxidea taxus),Unidentified,Mature,Small Mammal,33.46693,-107.08276,HW,Mixed
ARM06,Male,5,Badger (Taxidea taxus),Unidentified,Unidentified,Small Mammal,33.23167,-107.11619,CD,Upland
ARM09,Male,8,Badger (Taxidea taxus),Unidentified,Unidentified,Small Mammal,33.43499,-106.54388,HW,Upland
SEVM01,Male,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,34.14044,-106.88,CD,Mixed
SEVM01,Male,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,34.38313,-106.83308,CD,Mixed
ARM07,Male,4,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.36346,-107.1753,CD,Riparian
ARM07,Male,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.32386,-107.16888,CD,Riparian
ARM07,Male,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.31874,-107.16855,CD,Riparian
ARF01,Female,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.40464,-107.16479,HW,Riparian
ARF01,Female,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.46276,-107.15894,HW,Riparian
ARF01,Female,6,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.51463,-107.11518,CD,Riparian
ARM05,Male,1,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.54628,-107.10072,HW,Riparian
ARF05,Female,2,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.52842,-107.0978,CD,Riparian
ARF01,Female,4,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.5718,-107.08183,CD,Riparian
ARF01,Female,4,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.5495,-107.07918,HW,Riparian
ARF01,Female,4,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.5903,-107.05914,HD,Riparian
ARF01,Female,4,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.58796,-107.05045,CD,Riparian
ARF01,Female,6,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.59093,-107.04559,CD,Riparian
ARF01,Female,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.60971,-107.0408,CD,Riparian
ARF01,Female,4,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.60593,-107.02452,CD,Riparian
ARF01,Female,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.61843,-107.0162,CD,Riparian
ARF01,Female,4,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.61858,-107.0078,HW,Riparian
ARF01,Female,4,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.63045,-107.0048,CD,Riparian
ARM07,Male,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.62536,-107.00319,HD,Riparian
ARF05,Female,1,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.67928,-106.99979,HW,Riparian
ARM07,Male,6,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.66227,-106.99759,CD,Riparian
ARM07,Male,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.63171,-106.99435,HW,Riparian
ARM07,Male,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.63169,-106.99433,HW,Riparian
ARF05,Female,1,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.68905,-106.99107,CD,Riparian
ARM07,Male,4,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.69407,-106.98194,CD,Riparian
ARM07,Male,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.71628,-106.91981,HD,Riparian
ARM07,Male,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.75141,-106.91743,HW,Riparian
ARF01,Female,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.71876,-106.91651,CD,Riparian
ARF05,Female,2,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.7355,-106.90776,CD,Riparian
ARF01,Female,4,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.73251,-106.90737,HD,Riparian
ARM07,Male,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.80419,-106.88826,HW,Riparian
SEVF02,Female,3,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,34.19308,-106.88709,HW,Riparian
ARM07,Male,6,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.77822,-106.88609,CD,Riparian
ARM07,Male,6,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.75587,-106.88386,CD,Riparian
ARM07,Male,6,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.75595,-106.88384,CD,Riparian
SEVF02,Female,3,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,34.17294,-106.88327,HW,Riparian
ARF05,Female,2,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.76447,-106.88187,CD,Riparian
ARM07,Male,6,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.77593,-106.87258,HD,Riparian
ARM07,Male,6,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.79684,-106.86792,CD,Riparian
ARM07,Male,6,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.81058,-106.85683,HD,Riparian
ARM07,Male,5,Beaver (Castor canadensis),Unidentified,Adult,Aquatic,33.83625,-106.84922,HW,Riparian
ARM06,Male,6,Beaver (Castor canadensis),Male,Adult,Aquatic,33.45857,-107.15434,CD,Upland
ARF01,Female,4,Beaver (Castor canadensis),Unidentified,Mature,Aquatic,33.38856,-107.16357,HW,Riparian
ARF05,Female,2,Beaver (Castor canadensis),Male,Mature,Aquatic,33.56274,-107.07518,CD,Riparian
ARM07,Male,5,Beaver (Castor canadensis),Unidentified,Sub-adult,Aquatic,33.47498,-107.13843,CD,Riparian
SEVF02,Female,3,Beaver (Castor canadensis),Unidentified,Sub-adult,Aquatic,33.86461,-106.85088,HW,Riparian
ARM07,Male,6,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.37005,-107.17405,HD,Riparian
ARF01,Female,5,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.438,-107.15855,HW,Riparian
ARM07,Male,6,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.474,-107.13876,CD,Riparian
ARM07,Male,5,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.48445,-107.11936,CD,Riparian
ARM05,Male,1,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.54462,-107.07761,CD,Riparian
ARM05,Male,1,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.5882,-107.05737,HD,Riparian
ARM05,Male,1,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.58892,-107.05556,HD,Riparian
ARF05,Female,1,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.59192,-107.05087,HW,Riparian
ARM05,Male,1,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.62235,-107.01012,HW,Riparian
ARM05,Male,1,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.62235,-107.01012,HW,Riparian
ARM07,Male,6,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.63759,-107.00385,CD,Riparian
ARM07,Male,6,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.6852,-106.98582,CD,Riparian
ARF05,Female,1,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.68424,-106.95575,HW,Riparian
SEVF02,Female,3,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,34.16866,-106.88634,HD,Riparian
SEVF02,Female,3,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,34.16866,-106.88634,HD,Riparian
SEVF02,Female,3,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,34.16866,-106.88634,HD,Riparian
ARM05,Male,1,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,34.15803,-106.88538,HD,Riparian
SEVF02,Female,3,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,34.10388,-106.88074,HW,Riparian
ARM05,Male,1,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.80748,-106.87633,CD,Riparian
SEVF02,Female,3,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,34.05841,-106.87525,HW,Riparian
ARM07,Male,6,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.83506,-106.85085,HD,Riparian
ARM06,Male,6,Beaver (Castor canadensis),Unidentified,Unidentified,Aquatic,33.36438,-107.17486,CD,Upland
ARM01,Male,6,Bighorn Sheep (Ovis canadensis),Male,Adult,Ungulate,33.39282,-107.11209,HW,Mixed
ARM01,Male,6,Bighorn Sheep (Ovis canadensis),Male,Adult,Ungulate,33.47245,-107.11054,HW,Mixed
ARM01,Male,6,Bighorn Sheep (Ovis canadensis),Male,Adult,Ungulate,33.43058,-107.109,HD,Mixed
ARM01,Male,6,Bighorn Sheep (Ovis canadensis),Male,Adult,Ungulate,33.39283,-107.0778,HW,Mixed
ARM06,Male,6,Bighorn Sheep (Ovis canadensis),Male,Adult,Ungulate,33.41702,-107.11407,CD,Upland
LM7,Male,4,Bighorn Sheep (Ovis canadensis),Male,Adult,Ungulate,33.469967,-107.11185,CD,Upland
LM7,Male,4,Bighorn Sheep (Ovis canadensis),Female,Adult,Ungulate,33.39799,-107.0857,CD,Upland
SEVF04,Female,6,Bighorn Sheep (Ovis canadensis),Male,Adult,Ungulate,34.39803,-106.53182,CD,Upland
ARM05,Male,2,Bighorn Sheep (Ovis canadensis),Unidentified,"Lamb, Fawn, Calf, Neonate, Juvenile",Ungulate,33.41764,-107.12027,CD,Riparian
ARM05,Male,2,Bighorn Sheep (Ovis canadensis),Unidentified,"Lamb, Fawn, Calf, Neonate, Juvenile",Ungulate,33.4175,-107.11875,CD,Riparian
ARM07,Male,5,Bighorn Sheep (Ovis canadensis),Unidentified,"Lamb, Fawn, Calf, Neonate, Juvenile",Ungulate,33.42444,-107.11829,CD,Riparian
ARM05,Male,2,Bighorn Sheep (Ovis canadensis),Unidentified,"Lamb, Fawn, Calf, Neonate, Juvenile",Ungulate,33.43098,-107.11749,CD,Riparian
ARM05,Male,2,Bighorn Sheep (Ovis canadensis),Unidentified,"Lamb, Fawn, Calf, Neonate, Juvenile",Ungulate,33.44072,-107.11371,CD,Riparian
ARM05,Male,2,Bighorn Sheep (Ovis canadensis),Unidentified,"Lamb, Fawn, Calf, Neonate, Juvenile",Ungulate,33.3807,-107.10955,CD,Riparian
ARM05,Male,2,Bighorn Sheep (Ovis canadensis),Unidentified,"Lamb, Fawn, Calf, Neonate, Juvenile",Ungulate,33.37712,-107.1091,CD,Riparian
ARM10,Male,5,Bighorn Sheep (Ovis canadensis),Female,Mature,Ungulate,33.39065,-107.10789,HW,Mixed
ARM01,Male,6,Bighorn Sheep (Ovis canadensis),Male,Mature,Ungulate,33.4445,-107.09878,HW,Mixed
ARM05,Male,2,Bighorn Sheep (Ovis canadensis),Female,Mature,Ungulate,33.47219,-107.10894,CD,Riparian
LM7,Male,5,Bighorn Sheep (Ovis canadensis),Male,Mature,Ungulate,32.979003,-107.227336,CD,Upland
LM7,Male,5,Bighorn Sheep (Ovis canadensis),Male,Mature,Ungulate,32.906874,-107.19929,CD,Upland
LM7,Male,5,Bighorn Sheep (Ovis canadensis),Male,Mature,Ungulate,33.416795,-107.107494,CD,Upland
ARM10,Male,5,Bighorn Sheep (Ovis canadensis),Female,Sub-adult,Ungulate,33.46899,-107.10585,HW,Mixed
ARM10,Male,5,Bighorn Sheep (Ovis canadensis),Female,Sub-adult,Ungulate,33.46799,-107.10288,HW,Mixed
ARM05,Male,2,Bighorn Sheep (Ovis canadensis),Male,Sub-adult,Ungulate,33.39387,-107.11944,CD,Riparian
ARM06,Male,6,Bighorn Sheep (Ovis canadensis),Unidentified,Sub-adult,Ungulate,33.4043,-107.11731,CD,Upland
ARM06,Male,5,Bighorn Sheep (Ovis canadensis),Unidentified,Unidentified,Ungulate,33.44363,-107.1034,CD,Upland
ARM07,Male,4,Bighorn Sheep (Ovis canadensis),Unidentified,Yearling,Ungulate,33.3713,-107.11781,CD,Riparian
ARF01,Female,6,Bobcat (Lynx rufus),Unidentified,Adult,Small Mammal,33.62547,-107.0071,CD,Riparian
ARM09,Male,8,Bobcat (Lynx rufus),Unidentified,Adult,Small Mammal,33.50252,-106.79966,HD,Upland
ARM05,Male,1,Bobcat (Lynx rufus),Unidentified,Unidentified,Small Mammal,33.61421,-107.02074,HW,Riparian
SEVF03,Female,4,Bobcat (Lynx rufus),Unidentified,Unidentified,Small Mammal,34.30327,-106.70277,HD,Upland
SEVF03,Female,4,Bobcat (Lynx rufus),Unidentified,Unidentified,Small Mammal,34.2965,-106.68893,HD,Upland
ARF01,Female,4,Carp (Cyprinus carpio),Unidentified,Adult,Aquatic,33.41765,-107.17201,HW,Riparian
ARM07,Male,5,Carp (Cyprinus carpio),Unidentified,Adult,Aquatic,33.55084,-107.07777,HD,Riparian
ARM07,Male,5,Carp (Cyprinus carpio),Unidentified,Adult,Aquatic,33.68465,-106.95118,HD,Riparian
ARM07,Male,5,Carp (Cyprinus carpio),Unidentified,Adult,Aquatic,33.702,-106.93487,HD,Riparian
ARM07,Male,5,Carp (Cyprinus carpio),Unidentified,Sub-adult,Aquatic,33.75421,-106.88484,HW,Riparian
ARM04,Male,4,Carp (Cyprinus carpio),Unidentified,Unidentified,Aquatic,33.27799,-107.1745,CD,Mixed
ARM04,Male,4,Carp (Cyprinus carpio),Unidentified,Unidentified,Aquatic,33.27799,-107.1745,CD,Mixed
ARM04,Male,4,Carp (Cyprinus carpio),Unidentified,Unidentified,Aquatic,33.27799,-107.1745,CD,Mixed
ARM04,Male,4,Carp (Cyprinus carpio),Unidentified,Unidentified,Aquatic,33.27799,-107.1745,CD,Mixed
ARF01,Female,5,Carp (Cyprinus carpio),Unidentified,Unidentified,Aquatic,33.3157,-107.17123,HW,Riparian
ARF01,Female,4,Carp (Cyprinus carpio),Unidentified,Unidentified,Aquatic,33.40999,-107.16685,HD,Riparian
ARF02,Female,2,Carp (Cyprinus carpio),Unidentified,Unidentified,Aquatic,33.46282,-107.15924,HW,Riparian
ARF02,Female,2,Carp (Cyprinus carpio),Unidentified,Unidentified,Aquatic,33.43673,-107.15835,HW,Riparian
